Date,Event,Type,Description
1965 Mar,US troops enter Vietnam,Land,
1965 Aug,Operation Starlite,Land,First major ground offensive by U.S. forces in Vietnam
1965 Nov,Battle of la Drang Valley.,Land,First large-scale battle of the war
1967 Nov,Battle of Dak To,Land,
1968 Jan,Tet Offensive,Air & Land,"Khe Sanh Attack, Saigon Attack, Battle of Hue"
1968 Feb,Tet Offensive,Air & Land,
1968 Mar,Tet Offensive,Air & Land,
1968 Apr,Tet Offensive,Air & Land,
1968 May,Tet Offensive,Air & Land,
1968 Jun,Tet Offensive,Air & Land,
1968 Jul,Tet Offensive,Air & Land,
1968 Aug,Tet Offensive,Air & Land,
1968 Sep,Tet Offensive,Air & Land,
1969 May,Battle of Hamburger Hill,Land,
1971 Sep,Operation Jefferson Glenn,Land,Lat major operation which US ground forces fought
1972 Mar,Easter Offensive,Air & Land,
1972 Apr,Easter Offensive,Air & Land,
1972 May,Easter Offensive,Air & Land,
1972 Jun,Easter Offensive,Air & Land,
1972 Jul,Easter Offensive,Air & Land,
1972 Aug,Easter Offensive,Air & Land,
1972 Sep,Easter Offensive,Air & Land,
1972 Oct,Easter Offensive,Air & Land,
1973 Jan,US troops depart Vietnam,,
1975 Apr,Battle of Xuan Loc,Land,Last major battle of Vietnam War